id,country,code,zone,rate
522,BENIN ,22993,9,170
523,BENIN ,22990,9,170
524,BENIN ,22960,9,170
525,BENIN ,22963,9,170
526,BENIN ,22964,9,170
527,BENIN ,22965,9,170
528,BENIN ,22968,9,170
529,BENIN ,22994,9,170
530,BENIN ,22995,9,170
531,BENIN ,22998,9,170
532,BENIN ,22999,9,170
533,BENIN ,22961,9,170
534,BENIN ,22962,9,170
535,BENIN ,22966,9,170
536,BENIN ,22967,9,170
537,BENIN ,22969,9,170
538,BENIN ,22996,9,170
539,BENIN ,22997,9,170
540,BENIN ,229,9,170
541,BERMUDA ,144150,3,45
542,BERMUDA ,144151,3,45
543,BERMUDA ,144152,3,45
544,BERMUDA ,144153,3,45
545,BERMUDA ,144159,3,45
546,BERMUDA ,14413,3,45
547,BERMUDA ,14417,3,45
548,BERMUDA ,1441,3,45
549,BHUTAN ,97517,3,45
550,BHUTAN ,97593,3,45
551,BHUTAN ,97594,3,45
552,BHUTAN ,97595,3,45
553,BHUTAN ,97596,3,45
554,BHUTAN ,97597,3,45
555,BHUTAN ,97598,3,45
556,BHUTAN ,97599,3,45
557,BHUTAN ,975,3,45
558,BOLIVIA ,591442,6,90
559,BOLIVIA ,591444,6,90
560,BOLIVIA ,591447,6,90
561,BOLIVIA ,591448,6,90
562,BOLIVIA ,5914410,6,90
563,BOLIVIA ,5914411,6,90
564,BOLIVIA ,5914412,6,90
565,BOLIVIA ,5914414,6,90
566,BOLIVIA ,5914415,6,90
567,BOLIVIA ,5914416,6,90
568,BOLIVIA ,5914417,6,90
569,BOLIVIA ,5914418,6,90
570,BOLIVIA ,5914419,6,90
571,BOLIVIA ,5914430,6,90
572,BOLIVIA ,5914431,6,90
573,BOLIVIA ,5914432,6,90
574,BOLIVIA ,5914433,6,90
575,BOLIVIA ,5914435,6,90
576,BOLIVIA ,5914436,6,90
577,BOLIVIA ,5914437,6,90
578,BOLIVIA ,5914439,6,90
579,BOLIVIA ,5914450,6,90
580,BOLIVIA ,5914451,6,90
581,BOLIVIA ,5914452,6,90
582,BOLIVIA ,5914453,6,90
583,BOLIVIA ,5914454,6,90
584,BOLIVIA ,5914455,6,90
585,BOLIVIA ,5914456,6,90
586,BOLIVIA ,5914458,6,90
587,BOLIVIA ,5914459,6,90
588,BOLIVIA ,5914460,6,90
589,BOLIVIA ,5914461,6,90
590,BOLIVIA ,5914463,6,90
591,BOLIVIA ,5914465,6,90
592,BOLIVIA ,5914466,6,90
593,BOLIVIA ,5914467,6,90
594,BOLIVIA ,5914468,6,90
595,BOLIVIA ,5914469,6,90
596,BOLIVIA ,5914495,6,90
597,BOLIVIA ,59144130,6,90
598,BOLIVIA ,59144131,6,90
599,BOLIVIA ,59144132,6,90
600,BOLIVIA ,59144620,6,90
601,BOLIVIA ,59144621,6,90
602,BOLIVIA ,59144622,6,90
603,BOLIVIA ,59144623,6,90
604,BOLIVIA ,59144624,6,90
605,BOLIVIA ,59144625,6,90
606,BOLIVIA ,59144626,6,90
607,BOLIVIA ,59144640,6,90
608,BOLIVIA ,59144641,6,90
609,BOLIVIA ,59144642,6,90
610,BOLIVIA ,59144643,6,90
611,BOLIVIA ,59144644,6,90
612,BOLIVIA ,59144647,6,90
613,BOLIVIA ,59144649,6,90
614,BOLIVIA ,591222,6,90
615,BOLIVIA ,591223,6,90
616,BOLIVIA ,591224,6,90
617,BOLIVIA ,591226,6,90
618,BOLIVIA ,591227,6,90
619,BOLIVIA ,591229,6,90
620,BOLIVIA ,5912210,6,90
621,BOLIVIA ,5912211,6,90
622,BOLIVIA ,5912212,6,90
623,BOLIVIA ,5912214,6,90
624,BOLIVIA ,5912215,6,90
625,BOLIVIA ,5912216,6,90
626,BOLIVIA ,5912217,6,90
627,BOLIVIA ,5912218,6,90
628,BOLIVIA ,5912219,6,90
629,BOLIVIA ,5912250,6,90
630,BOLIVIA ,5912251,6,90
631,BOLIVIA ,5912252,6,90
632,BOLIVIA ,5912253,6,90
633,BOLIVIA ,5912254,6,90
634,BOLIVIA ,5912255,6,90
635,BOLIVIA ,5912256,6,90
636,BOLIVIA ,5912257,6,90
637,BOLIVIA ,5912258,6,90
638,BOLIVIA ,5912280,6,90
639,BOLIVIA ,5912281,6,90
640,BOLIVIA ,5912282,6,90
641,BOLIVIA ,5912283,6,90
642,BOLIVIA ,5912284,6,90
643,BOLIVIA ,5912285,6,90
644,BOLIVIA ,5912286,6,90
645,BOLIVIA ,5912287,6,90
646,BOLIVIA ,5912288,6,90
647,BOLIVIA ,59122130,6,90
648,BOLIVIA ,59122131,6,90
649,BOLIVIA ,59122132,6,90
650,BOLIVIA ,59122590,6,90
651,BOLIVIA ,59122591,6,90
652,BOLIVIA ,59122592,6,90
653,BOLIVIA ,59122593,6,90
654,BOLIVIA ,59122594,6,90
655,BOLIVIA ,59122595,6,90
656,BOLIVIA ,59122596,6,90
657,BOLIVIA ,59122597,6,90
658,BOLIVIA ,59122599,6,90
659,BOLIVIA ,59122890,6,90
660,BOLIVIA ,59122891,6,90
661,BOLIVIA ,59122892,6,90
662,BOLIVIA ,59122893,6,90
663,BOLIVIA ,59122894,6,90
664,BOLIVIA ,59128211,6,90
665,BOLIVIA ,59128212,6,90
666,BOLIVIA ,59167,6,90
667,BOLIVIA ,59171,6,90
668,BOLIVIA ,59172,6,90
669,BOLIVIA ,59173,6,90
670,BOLIVIA ,59174,6,90
671,BOLIVIA ,59160,6,90
672,BOLIVIA ,59165,6,90
673,BOLIVIA ,59170,6,90
674,BOLIVIA ,59179,6,90
675,BOLIVIA ,59175,6,90
676,BOLIVIA ,59176,6,90
677,BOLIVIA ,59177,6,90
678,BOLIVIA ,59178,6,90
679,BOLIVIA ,591,6,90
680,BOLIVIA ,591332,6,90
681,BOLIVIA ,591333,6,90
682,BOLIVIA ,591334,6,90
683,BOLIVIA ,591335,6,90
684,BOLIVIA ,591336,6,90
685,BOLIVIA ,591339,6,90
686,BOLIVIA ,591340,6,90
687,BOLIVIA ,5913310,6,90
688,BOLIVIA ,5913311,6,90
689,BOLIVIA ,5913312,6,90
690,BOLIVIA ,5913314,6,90
691,BOLIVIA ,5913315,6,90
692,BOLIVIA ,5913316,6,90
693,BOLIVIA ,5913317,6,90
694,BOLIVIA ,5913318,6,90
695,BOLIVIA ,5913319,6,90
696,BOLIVIA ,5913370,6,90
697,BOLIVIA ,5913371,6,90
698,BOLIVIA ,5913372,6,90
699,BOLIVIA ,5913373,6,90
700,BOLIVIA ,5913374,6,90
701,BOLIVIA ,5913375,6,90
702,BOLIVIA ,5913377,6,90
703,BOLIVIA ,5913378,6,90
704,BOLIVIA ,5913379,6,90
705,BOLIVIA ,5913380,6,90
706,BOLIVIA ,5913381,6,90
707,BOLIVIA ,5913383,6,90
708,BOLIVIA ,5913920,6,90
709,BOLIVIA ,5913921,6,90
710,BOLIVIA ,5913922,6,90
711,BOLIVIA ,5913923,6,90
